,angle,reaction_time,ans,rsp,obj,name,experiment,group,session,AR,Type,Sym
0,0.0,7.481438,0.0,0.0,1.0,ZX,E1,G1,S2,1.0,B,0
1,135.0,3.126381,0.0,0.0,0.0,ZX,E1,G1,S2,1.0,B,0
2,90.0,7.028828,0.0,0.0,2.0,ZX,E1,G1,S2,1.0,B,0
3,90.0,4.543175,1.0,1.0,1.0,ZX,E1,G1,S2,1.0,B,0
4,180.0,4.759361,1.0,1.0,0.0,ZX,E1,G1,S2,1.0,B,0
5,135.0,3.094666,0.0,0.0,1.0,ZX,E1,G1,S2,1.0,B,0
6,90.0,3.027428,1.0,1.0,2.0,ZX,E1,G1,S2,1.0,B,0
7,45.0,3.528358,0.0,0.0,2.0,ZX,E1,G1,S2,1.0,B,0
8,0.0,3.225471,1.0,1.0,2.0,ZX,E1,G1,S2,1.0,B,0
9,180.0,2.313316,1.0,1.0,1.0,ZX,E1,G1,S2,1.0,B,0
10,0.0,2.221939,1.0,1.0,0.0,ZX,E1,G1,S2,1.0,B,0
11,90.0,2.657455,0.0,0.0,0.0,ZX,E1,G1,S2,1.0,B,0
12,90.0,3.750645,1.0,1.0,2.0,ZX,E1,G1,S2,1.0,B,0
13,0.0,2.797859,0.0,0.0,2.0,ZX,E1,G1,S2,1.0,B,0
14,180.0,8.220657,1.0,1.0,0.0,ZX,E1,G1,S2,1.0,B,0
15,45.0,2.464111,0.0,0.0,0.0,ZX,E1,G1,S2,1.0,B,0
16,90.0,4.707001,1.0,1.0,1.0,ZX,E1,G1,S2,1.0,B,0
17,0.0,3.004112,0.0,0.0,1.0,ZX,E1,G1,S2,1.0,B,0
18,135.0,4.631577,1.0,1.0,0.0,ZX,E1,G1,S2,1.0,B,0
19,45.0,3.240616,1.0,1.0,0.0,ZX,E1,G1,S2,1.0,B,0
20,135.0,2.135536,0.0,0.0,0.0,ZX,E1,G1,S2,1.0,B,0
21,135.0,2.548058,0.0,0.0,2.0,ZX,E1,G1,S2,1.0,B,0
22,135.0,6.606812,1.0,1.0,0.0,ZX,E1,G1,S2,1.0,B,0
23,45.0,2.361755,0.0,0.0,0.0,ZX,E1,G1,S2,1.0,B,0
24,135.0,2.72554,1.0,1.0,2.0,ZX,E1,G1,S2,1.0,B,0
25,0.0,2.021408,0.0,0.0,0.0,ZX,E1,G1,S2,1.0,B,0
26,135.0,2.390625,0.0,0.0,1.0,ZX,E1,G1,S2,1.0,B,0
27,90.0,2.402313,0.0,0.0,0.0,ZX,E1,G1,S2,1.0,B,0
28,180.0,2.329559,0.0,0.0,2.0,ZX,E1,G1,S2,1.0,B,0
29,90.0,1.93647,0.0,0.0,2.0,ZX,E1,G1,S2,1.0,B,0
30,180.0,1.971565,1.0,1.0,2.0,ZX,E1,G1,S2,1.0,B,0
31,45.0,2.2183,0.0,0.0,1.0,ZX,E1,G1,S2,1.0,B,0
32,0.0,2.299133,0.0,0.0,2.0,ZX,E1,G1,S2,1.0,B,0
33,180.0,1.68692,0.0,0.0,2.0,ZX,E1,G1,S2,1.0,B,0
34,180.0,2.055069,0.0,0.0,0.0,ZX,E1,G1,S2,1.0,B,0
35,135.0,2.334473,1.0,1.0,1.0,ZX,E1,G1,S2,1.0,B,0
36,135.0,2.13324,0.0,0.0,2.0,ZX,E1,G1,S2,1.0,B,0
37,90.0,1.856445,0.0,0.0,1.0,ZX,E1,G1,S2,1.0,B,0
38,90.0,1.696213,0.0,0.0,1.0,ZX,E1,G1,S2,1.0,B,0
39,180.0,1.564819,0.0,0.0,1.0,ZX,E1,G1,S2,1.0,B,0
40,90.0,2.142975,1.0,1.0,0.0,ZX,E1,G1,S2,1.0,B,0
41,180.0,3.514389,1.0,1.0,1.0,ZX,E1,G1,S2,1.0,B,0
42,45.0,6.866211,1.0,1.0,2.0,ZX,E1,G1,S2,1.0,B,0
43,0.0,2.710419,1.0,1.0,2.0,ZX,E1,G1,S2,1.0,B,0
44,180.0,1.988388,0.0,0.0,1.0,ZX,E1,G1,S2,1.0,B,0
45,45.0,2.782303,1.0,1.0,1.0,ZX,E1,G1,S2,1.0,B,0
46,135.0,3.138382,1.0,1.0,2.0,ZX,E1,G1,S2,1.0,B,0
47,0.0,2.177917,1.0,1.0,0.0,ZX,E1,G1,S2,1.0,B,0
48,90.0,2.480591,1.0,1.0,0.0,ZX,E1,G1,S2,1.0,B,0
49,0.0,2.722778,1.0,1.0,1.0,ZX,E1,G1,S2,1.0,B,0
50,135.0,2.434311,1.0,1.0,1.0,ZX,E1,G1,S2,1.0,B,0
51,45.0,2.210403,0.0,0.0,1.0,ZX,E1,G1,S2,1.0,B,0
52,180.0,2.671509,1.0,1.0,2.0,ZX,E1,G1,S2,1.0,B,0
53,45.0,2.525528,1.0,1.0,1.0,ZX,E1,G1,S2,1.0,B,0
54,45.0,2.620499,1.0,1.0,2.0,ZX,E1,G1,S2,1.0,B,0
55,0.0,2.080978,0.0,0.0,0.0,ZX,E1,G1,S2,1.0,B,0
56,0.0,2.390091,1.0,1.0,1.0,ZX,E1,G1,S2,1.0,B,0
57,45.0,3.932587,1.0,1.0,0.0,ZX,E1,G1,S2,1.0,B,0
58,45.0,2.480331,0.0,0.0,2.0,ZX,E1,G1,S2,1.0,B,0
59,180.0,3.618774,0.0,0.0,0.0,ZX,E1,G1,S2,1.0,B,0
60,0.0,3.702734,0.0,0.0,1.0,ZX,E1,G1,S3,1.0,B,0
61,135.0,1.96649,0.0,0.0,0.0,ZX,E1,G1,S3,1.0,B,0
62,90.0,1.958698,0.0,0.0,2.0,ZX,E1,G1,S3,1.0,B,0
63,90.0,1.809067,1.0,1.0,1.0,ZX,E1,G1,S3,1.0,B,0
64,180.0,2.165833,1.0,1.0,0.0,ZX,E1,G1,S3,1.0,B,0
65,135.0,1.707611,0.0,0.0,1.0,ZX,E1,G1,S3,1.0,B,0
66,90.0,2.269127,1.0,1.0,2.0,ZX,E1,G1,S3,1.0,B,0
67,45.0,2.189953,0.0,0.0,2.0,ZX,E1,G1,S3,1.0,B,0
68,0.0,3.672699,1.0,1.0,2.0,ZX,E1,G1,S3,1.0,B,0
69,180.0,1.823502,1.0,1.0,1.0,ZX,E1,G1,S3,1.0,B,0
70,0.0,1.831387,1.0,1.0,0.0,ZX,E1,G1,S3,1.0,B,0
71,90.0,2.055943,0.0,0.0,0.0,ZX,E1,G1,S3,1.0,B,0
72,90.0,2.020523,1.0,1.0,2.0,ZX,E1,G1,S3,1.0,B,0
73,0.0,2.659832,0.0,0.0,2.0,ZX,E1,G1,S3,1.0,B,0
74,180.0,2.244717,1.0,1.0,0.0,ZX,E1,G1,S3,1.0,B,0
75,45.0,1.909615,0.0,0.0,0.0,ZX,E1,G1,S3,1.0,B,0
76,90.0,1.899136,1.0,1.0,1.0,ZX,E1,G1,S3,1.0,B,0
77,0.0,1.921638,0.0,0.0,1.0,ZX,E1,G1,S3,1.0,B,0
78,135.0,2.232567,1.0,1.0,0.0,ZX,E1,G1,S3,1.0,B,0
80,135.0,2.679901,0.0,0.0,0.0,ZX,E1,G1,S3,1.0,B,0
81,135.0,2.244598,0.0,0.0,2.0,ZX,E1,G1,S3,1.0,B,0
82,135.0,2.279999,1.0,1.0,0.0,ZX,E1,G1,S3,1.0,B,0
83,45.0,3.092957,0.0,0.0,0.0,ZX,E1,G1,S3,1.0,B,0
84,135.0,2.567482,1.0,1.0,2.0,ZX,E1,G1,S3,1.0,B,0
85,0.0,1.743042,0.0,0.0,0.0,ZX,E1,G1,S3,1.0,B,0
86,135.0,2.660423,0.0,0.0,1.0,ZX,E1,G1,S3,1.0,B,0
87,90.0,1.925117,0.0,0.0,0.0,ZX,E1,G1,S3,1.0,B,0
88,180.0,1.71463,0.0,0.0,2.0,ZX,E1,G1,S3,1.0,B,0
89,90.0,2.479698,0.0,0.0,2.0,ZX,E1,G1,S3,1.0,B,0
90,180.0,1.7994,1.0,1.0,2.0,ZX,E1,G1,S3,1.0,B,0
91,45.0,2.063538,0.0,0.0,1.0,ZX,E1,G1,S3,1.0,B,0
92,0.0,2.135094,0.0,0.0,2.0,ZX,E1,G1,S3,1.0,B,0
93,180.0,1.564957,0.0,0.0,2.0,ZX,E1,G1,S3,1.0,B,0
94,180.0,1.830643,0.0,0.0,0.0,ZX,E1,G1,S3,1.0,B,0
95,135.0,1.785103,1.0,1.0,1.0,ZX,E1,G1,S3,1.0,B,0
96,135.0,1.696304,0.0,0.0,2.0,ZX,E1,G1,S3,1.0,B,0
97,90.0,2.877029,0.0,0.0,1.0,ZX,E1,G1,S3,1.0,B,0
98,90.0,1.794807,0.0,0.0,1.0,ZX,E1,G1,S3,1.0,B,0
99,180.0,1.576378,0.0,0.0,1.0,ZX,E1,G1,S3,1.0,B,0
100,90.0,1.876785,1.0,1.0,0.0,ZX,E1,G1,S3,1.0,B,0
101,180.0,1.833122,1.0,1.0,1.0,ZX,E1,G1,S3,1.0,B,0
102,45.0,1.982758,1.0,1.0,2.0,ZX,E1,G1,S3,1.0,B,0
104,180.0,2.085106,0.0,0.0,1.0,ZX,E1,G1,S3,1.0,B,0
105,45.0,4.807823,1.0,1.0,1.0,ZX,E1,G1,S3,1.0,B,0
106,135.0,2.312012,1.0,1.0,2.0,ZX,E1,G1,S3,1.0,B,0
107,0.0,2.512894,1.0,1.0,0.0,ZX,E1,G1,S3,1.0,B,0
108,90.0,2.166306,1.0,1.0,0.0,ZX,E1,G1,S3,1.0,B,0
109,0.0,2.163773,1.0,1.0,1.0,ZX,E1,G1,S3,1.0,B,0
110,135.0,1.559326,1.0,1.0,1.0,ZX,E1,G1,S3,1.0,B,0
111,45.0,2.14119,0.0,0.0,1.0,ZX,E1,G1,S3,1.0,B,0
112,180.0,2.135437,1.0,1.0,2.0,ZX,E1,G1,S3,1.0,B,0
113,45.0,2.523239,1.0,1.0,1.0,ZX,E1,G1,S3,1.0,B,0
114,45.0,2.056381,1.0,1.0,2.0,ZX,E1,G1,S3,1.0,B,0
115,0.0,1.953186,0.0,0.0,0.0,ZX,E1,G1,S3,1.0,B,0
116,0.0,3.04071,1.0,1.0,1.0,ZX,E1,G1,S3,1.0,B,0
117,45.0,2.423538,1.0,1.0,0.0,ZX,E1,G1,S3,1.0,B,0
118,45.0,2.297745,0.0,0.0,2.0,ZX,E1,G1,S3,1.0,B,0
119,180.0,2.45845,0.0,0.0,0.0,ZX,E1,G1,S3,1.0,B,0
540,90.0,4.545571,0.0,0.0,2.0,ZX,E3,G1,S2,1.0,T,0
541,0.0,1.957747,1.0,1.0,2.0,ZX,E3,G1,S2,1.0,T,0
542,45.0,1.910544,1.0,1.0,2.0,ZX,E3,G1,S2,1.0,T,0
543,135.0,2.200916,0.0,0.0,2.0,ZX,E3,G1,S2,1.0,T,0
544,90.0,3.138636,0.0,0.0,1.0,ZX,E3,G1,S2,1.0,T,0
