,angle,reaction_time,ans,rsp,obj,name,experiment,group,session,AR,Type,Sym
120,0.0,2.753287,0.0,0.0,0.0,ZX,E2,G1,S2,1.0,T,None
121,135.0,4.438911,0.0,0.0,0.0,ZX,E2,G1,S2,1.6,T,None
122,90.0,4.950394,0.0,0.0,0.0,ZX,E2,G1,S2,2.0,T,None
123,90.0,2.498755,1.0,1.0,0.0,ZX,E2,G1,S2,1.0,T,None
124,180.0,3.75017,1.0,1.0,0.0,ZX,E2,G1,S2,1.6,T,None
125,135.0,3.075148,0.0,0.0,0.0,ZX,E2,G1,S2,1.0,T,None
126,90.0,5.148567,1.0,1.0,0.0,ZX,E2,G1,S2,2.0,T,None
127,45.0,2.803322,0.0,0.0,0.0,ZX,E2,G1,S2,2.0,T,None
128,0.0,2.76646,1.0,1.0,0.0,ZX,E2,G1,S2,2.0,T,None
129,180.0,2.450504,1.0,1.0,0.0,ZX,E2,G1,S2,1.0,T,None
130,0.0,3.037045,1.0,1.0,0.0,ZX,E2,G1,S2,1.6,T,None
131,90.0,2.939259,0.0,0.0,0.0,ZX,E2,G1,S2,1.6,T,None
132,90.0,6.409794,1.0,1.0,0.0,ZX,E2,G1,S2,2.0,T,None
133,0.0,3.496723,0.0,0.0,0.0,ZX,E2,G1,S2,2.0,T,None
134,180.0,3.954231,1.0,1.0,0.0,ZX,E2,G1,S2,1.6,T,None
136,90.0,5.319084,1.0,1.0,0.0,ZX,E2,G1,S2,1.0,T,None
137,0.0,2.066147,0.0,0.0,0.0,ZX,E2,G1,S2,1.0,T,None
138,135.0,4.946976,1.0,1.0,0.0,ZX,E2,G1,S2,1.6,T,None
139,45.0,3.633316,1.0,1.0,0.0,ZX,E2,G1,S2,1.6,T,None
140,135.0,3.940308,0.0,0.0,0.0,ZX,E2,G1,S2,1.6,T,None
141,135.0,7.137871,0.0,0.0,0.0,ZX,E2,G1,S2,2.0,T,None
143,45.0,3.161514,0.0,0.0,0.0,ZX,E2,G1,S2,1.6,T,None
144,135.0,3.747726,1.0,1.0,0.0,ZX,E2,G1,S2,2.0,T,None
145,0.0,3.960251,0.0,0.0,0.0,ZX,E2,G1,S2,1.6,T,None
146,135.0,4.481094,0.0,0.0,0.0,ZX,E2,G1,S2,1.0,T,None
148,180.0,6.959045,0.0,0.0,0.0,ZX,E2,G1,S2,2.0,T,None
149,90.0,2.619125,0.0,0.0,0.0,ZX,E2,G1,S2,2.0,T,None
150,180.0,2.344055,1.0,1.0,0.0,ZX,E2,G1,S2,2.0,T,None
151,45.0,4.388824,0.0,0.0,0.0,ZX,E2,G1,S2,1.0,T,None
152,0.0,3.797073,0.0,0.0,0.0,ZX,E2,G1,S2,2.0,T,None
153,180.0,2.333191,0.0,0.0,0.0,ZX,E2,G1,S2,2.0,T,None
154,180.0,3.699585,0.0,0.0,0.0,ZX,E2,G1,S2,1.6,T,None
155,135.0,2.658829,1.0,1.0,0.0,ZX,E2,G1,S2,1.0,T,None
156,135.0,2.456467,0.0,0.0,0.0,ZX,E2,G1,S2,2.0,T,None
157,90.0,2.68161,0.0,0.0,0.0,ZX,E2,G1,S2,1.0,T,None
158,90.0,2.691238,0.0,0.0,0.0,ZX,E2,G1,S2,1.0,T,None
159,180.0,2.701736,0.0,0.0,0.0,ZX,E2,G1,S2,1.0,T,None
160,90.0,6.446732,1.0,1.0,0.0,ZX,E2,G1,S2,1.6,T,None
161,180.0,2.502396,1.0,1.0,0.0,ZX,E2,G1,S2,1.0,T,None
162,45.0,2.579361,1.0,1.0,0.0,ZX,E2,G1,S2,2.0,T,None
163,0.0,2.569443,1.0,1.0,0.0,ZX,E2,G1,S2,2.0,T,None
164,180.0,4.335648,0.0,0.0,0.0,ZX,E2,G1,S2,1.0,T,None
165,45.0,2.377182,1.0,1.0,0.0,ZX,E2,G1,S2,1.0,T,None
166,135.0,3.207642,1.0,1.0,0.0,ZX,E2,G1,S2,2.0,T,None
167,0.0,7.549316,1.0,1.0,0.0,ZX,E2,G1,S2,1.6,T,None
168,90.0,2.334961,1.0,1.0,0.0,ZX,E2,G1,S2,1.6,T,None
169,0.0,2.624084,1.0,1.0,0.0,ZX,E2,G1,S2,1.0,T,None
170,135.0,2.591827,1.0,1.0,0.0,ZX,E2,G1,S2,1.0,T,None
171,45.0,2.182297,0.0,0.0,0.0,ZX,E2,G1,S2,1.0,T,None
172,180.0,4.452576,1.0,1.0,0.0,ZX,E2,G1,S2,2.0,T,None
173,45.0,2.379379,1.0,1.0,0.0,ZX,E2,G1,S2,1.0,T,None
174,45.0,3.469772,1.0,1.0,0.0,ZX,E2,G1,S2,2.0,T,None
175,0.0,3.410019,0.0,0.0,0.0,ZX,E2,G1,S2,1.6,T,None
176,0.0,3.785309,1.0,1.0,0.0,ZX,E2,G1,S2,1.0,T,None
177,45.0,2.969635,1.0,1.0,0.0,ZX,E2,G1,S2,1.6,T,None
178,45.0,5.174774,0.0,0.0,0.0,ZX,E2,G1,S2,2.0,T,None
179,180.0,4.188263,0.0,0.0,0.0,ZX,E2,G1,S2,1.6,T,None
180,0.0,3.198945,0.0,0.0,0.0,ZX,E2,G1,S3,1.0,T,None
181,135.0,4.063992,0.0,0.0,0.0,ZX,E2,G1,S3,1.6,T,None
182,90.0,2.688032,0.0,0.0,0.0,ZX,E2,G1,S3,2.0,T,None
183,90.0,2.603316,1.0,1.0,0.0,ZX,E2,G1,S3,1.0,T,None
184,180.0,4.914124,1.0,1.0,0.0,ZX,E2,G1,S3,1.6,T,None
185,135.0,3.305941,0.0,0.0,0.0,ZX,E2,G1,S3,1.0,T,None
186,90.0,3.370287,1.0,1.0,0.0,ZX,E2,G1,S3,2.0,T,None
187,45.0,3.788511,0.0,0.0,0.0,ZX,E2,G1,S3,2.0,T,None
188,0.0,2.973373,1.0,1.0,0.0,ZX,E2,G1,S3,2.0,T,None
189,180.0,2.859348,1.0,1.0,0.0,ZX,E2,G1,S3,1.0,T,None
190,0.0,6.220921,1.0,1.0,0.0,ZX,E2,G1,S3,1.6,T,None
191,90.0,3.243942,0.0,0.0,0.0,ZX,E2,G1,S3,1.6,T,None
192,90.0,2.922989,1.0,1.0,0.0,ZX,E2,G1,S3,2.0,T,None
193,0.0,2.745411,0.0,0.0,0.0,ZX,E2,G1,S3,2.0,T,None
